Fragen (EN);Optionen (EN)
"Who should know the most about the progress toward a business objective or a release, and be able to explain the alternatives most clearly? 
(choose the best answer)";"A) The Developers
B) The Project Manager
C) The Scrum Master
D) The Product Owner"
"What happens if the Scrum Team cannot complete its work by the end of the Sprint?
(Choose the best answer)";"A) The Sprint is extended and future Sprints use this new duration
B) The Sprint is extended temporarily. Lessons are taken to ensure it does not happen again.
C) The Sprint length is unchanged and the Scrum Team continuously learns and adapts."
"In the Sprint Planning meeting, the Product Owner and the Development Team were unable to reach a clear understanding about the highest order Product Backlog Items. Because of this, the Development Team couldn’t figure out how many Product  backlog Items it could forecast for the upcoming Sprint. They were able to agree on a Sprint Goal, however. Which of the following two actions should the Scrum Master support? 
(choose the best two answers) ";"A) Ask everyone to take as much time as needed to analyse the Product Backlog first, and then reconvene another Sprint Planning meeting. 
B) Discuss in the upcoming $print Retrospective why this happened and what changes will make it less likely to recur. 
C) Continue the Sprint Planning meeting past its time box until an adequate number of Product Backlog Items are well enough understood for the Development Team to make a complete forecast. Then start the Sprint. 
D) Cancel the Sprint. Send the entire Team to an advanced Scrum training and then start a new Sprint. 
E) Forecast the most likely Product Backlog Items to meet the Goal and create a Sprint Backlog based on a likely initial design and plan. Once the time box for the Sprint Planning meeting is over, start the Sprint and continue to analyse, decompose, and create additional functionality during the Sprint."
"When multiple Scrum Teams are working on a single product, 
what best describes the Definition of Done?
(Choose the best answer)";"A) The Scrum Masters from each Scrum Team define a common Definition of Done
B) When multiple Scrum Teams are working together on a product, they must mutually define and complete and comply with the same Definition of Done.
C) Each Scrum Team uses it's own, but must make their clear to all other teams so the differences are known.
D) Each Scrum Team defines and uses its own. The differences are discussed and reconciled during a hardening Sprint."
"Which two scenarios would best represent a self-organizing Development Team? 
(choose the best two answers) ";"A) The Development Team members are strictly focused on the work within their functional role and always handing off the work to other roles in a timely matter.
B) Management works with the Scrum Master to optimize the Development Team’s progress during the Sprint.
C) Development Team members collaboratively select and re-plan their work throughout the Sprint.
D) The Development Team invites external people to the Sprint Planning to help them create a complete and detailed Sprint Backlog.
E) The Development Team creates its own Sprint Backlog, reflecting all work that is part of the
Definition of Done."
"Several Sprints into a project, the Product Owner tells the Scrum Master that a key stakeholder just started using the product. The stakeholder is unhappy with the slow performance. What are two good options for the Scrum Master?
(Choose the best two answers)";"A) Encourage the Product Owner to put performance on the Product Backlog and express the stakeholders concern to the Developers.
B) Explain to the Product Owner that it’s up to the Developers to decide on acceptable performance standards.
C) Bring the concern to the testers to improve how the system is tested.
D) Coach the Product Owner on how to talk with the Developers about this concern.
E) Wait to bring this up until the Sprint retrospective"
"What are three ways Scrum promotes self-management?
(Choose the best 3 answers)";"A) By having the Scrum Master protect the Scrum Team.
B) By the Scrum Team deciding what work to do in a Sprint.
C) By being a lightweight framework
D) By removing titles for the Scrum Team members"
"What is the key concern when multiple Scrum Teams are working from the same Product Backlog? 
(Choose the best answer)";"A) Making sure there is enough work for everyone on every team
B) Maximizing velocity
C) Clear definition of requirements
D) Minimizing dependencies between teams
E) Meeting original scope projections"
"You are the Scrum Master of a new, to be developed Product. Development is going to require 45 people. What is a good first question for you to suggest the group thinks about when forming into teams?
(Choose the best answer)";"A) What is the right mixture of senior and junior people on each team?
B) How will we make sure all teams have the right amount of expertise?
C) Who are the subject matter experts on each team?
D) Who are going to be the team leads?"
"Who determines how work is performed during the Sprint?
(Choose the best answer)";"A) Architects
B) Subject matter experts
C) The Developers
D) Managers of the Developers
E) The Scrum Master"
"Why is the Daily Scrum held at the same time and same place? 
(choose the best answer)";"A) Rooms are hard to book and this lets it be booked in advance.
B) The Product Owner demands it.
C) The consistency reduces complexity.
D) The place can be named."
"What is the Sprint Backlog? 
(choose the best answer)";"A) The Product Backlog items selected for this Sprint.
B) The Product Backlog items selected for this Sprint plus the plan for delivering them.
C) The Product Backlog items selected for this Sprint plus the Team Backlog items.
D) The plan for delivering Product Backlog items."
"What would likely happen if management only changed the organization’s current terminology to fit Scrum without the proper understanding and support of Scrum as defined in the Scrum Guide?
(Choose the best answer)";"A) Very little change will happen as the vocabulary in Scrum is specifically defined for implementing Scrum.
B) The organization may not realize the real benefits of Scrum as there would be no real change on the way the teams work.
C) Organizations may feel less stressed as the behaviors would remain familiar to management.
D) all answers apply."
"Which of the following are examples of a Scrum Team practicing Scrum poorly or not exhibiting traits of a self-managing Scrum Team? 
(choose the best three answers)";"A) The Developers are working within the boundaries of their organizations functional description and nicely handing off work from analyst to developer to tester to integration.
B) The Developers have all the skills they need to create a valuable, useful Increment.
C) The Developers create their own Sprint Backlog, reflecting all work that is required to meet the Definition of Done.
D) The Developers are collaboratively selecting their own work during the Sprint.
E) The Developers invite external stakeholders to the Sprint Planning to ask them how to turn a Product Backlog item into an Increment via a complete and detailed Sprint Backlog.
F) Stakeholders attend the Daily Scrum to check on the Scrum Team’s progress."
"For the purpose of transparency,
when does Scrum say a new valuable and useful increment must be available?
(Choose the best answer)";"A) At the end of every Sprint.
B) Every three Sprints.
C) Before the release Sprint.
D) After the acceptance testing phase.
E) When the Product Owner asks to create one."
"Which technique is the best way the Scrum Master can ensure that the Developers communicate effectively with the Product Owner.
(Choose the best answer)";"A) Teach the Product Owner about the technologies employed during the Sprints.
B) Monitor communications between them and facilitate direct collaboration.
C) Teach the Developers to talk in terms of business needs and objectives.
D) Function as a go-between for them."
"In accordance with Scrum theory, how should a group of 100 people be divided into multiple Scrum Teams?
(Choose the best answer)";"A) Understanding the product, vision and the rules of the Scrum framework, the group divides itself into teams
B) It doesn’t really matter because you can rotate the teams every Sprint to spread knowledge
C) Check with the allocation dept. to see who has worked together before and make these the first teams
D) Create a matrix of skills, seniority, and level of experience to assign people to teams "
"Which best describes the Product Backlog?
(choose the best answer)";"A) It is baselined to follow change management processes
B) It provides just enough information to enable a Scrum Team to start the design phase of a product
C) it is allowed to grow and change as more is learned about the product and its customers
D) it contains all foreseeable tasks and requirements from which the Scrum Team can develop and maintain a complete project plan"
"Which events are time-boxed according to the Scrum Guide? 
(choose the best three answers) ";"A) Design Sprint. 
B) Release Retrospective. 
C) Sprint Review. 
D) Release Testing. 
E) Daily Scrum. 
F) The Sprint. 
G) Sprint Testing."
The Scrum Team must choose at least one high priority process improvement item, identified during the Sprint Retrospective, and place it in the Sprint Backlog.;"A) True
B) False"
"During a Sprint, a Developer determines that the Scrum Team will not be able to complete the items in their forecast. Who should be present to review and adjust the Product Backlog items selected? 
(choose the best answer)";"A) The Product Owner and the Developers.
B) The Developers.
C) The Product Owner and all stakeholders.
D) The Scrum Master, the project manager, and the Developers"
A Scrum Team is only allowed to meet with stakeholders during Sprint review.;"A) True
B) False"
"What are two effective ways for the Scrum Team to make non-functional requirements visible?
(Choose the best two answers)";"A) Add them to the Definition of Done so the work is taken care of every sprint
B) Put them on a separate list on the Scrum Board[1] , available for all to see
C) Run the integration and regression tests before the end of the Sprint, and capture the open work for the Sprint Backlog on the next Sprint
D) Add them to the Product Backlog to ensure transparency"
"Scrum Team membership should change:
(choose the best answer) ";"A) As needed, with no special allowance for changes in Productivity. 
B) Every Sprint to promote shared learning. 
C) As needed, while taking into account a short term reduction in Productivity. 
D) Never, because it reduces Productivity."
"During a Sprint retrospective, the Developers propose moving the Daily Scrum to only occur on Tuesdays and Thursdays. Which two are the most appropriate responses for the Scrum Master to recommend?
(Choose the best two answers)";"A) Coach the team on why the daily Scrum is important as an opportunity to update the plan.
B) Have the developers vote
C) Acknowledge and support the self-managing team’s decision.
D) Learn why the Developers want this and work with them to improve the outcome of the daily Scrum.
E Consider the request and decide on which days the Daily Scrum should occur."
"Which approach is best for Scrum Teams in order to produce valuable Increments?
(Choose the best answer)";"A) Each Scrum Team works on an independent set of components.
B) Each Scrum Member works only as an independent layer of the system.
C) Each Scrum Team is accountable for developing functionality from beginning to end.
D) Each Developer works on the component where they feel that they can contribute."
"How much work is required of the Developers to complete a Product Backlog item selected during the Sprint Planning?
(Choose the best answer)";"A) As much as is required to meet the Scrum Team's Definition of Done
B) A proportional amount of time on analysis, design, development, and testing
C) As much as they can fit into the Sprint, with remaining work deferred to the next Sprint
D) All development work an at least some testing"
"A Development Team asks their Product Owner to re-order the Product Backlog. The Team is waiting for an external supplier to deliver a specific software component. Without that component there won't be enough work in the next Sprint to occupy the full Team. The Product Owner asks the Scrum Master for help. What would be good advice to give the Product Owner? 
(choose the best answer)";"A) Tell the Product Owner to re-order the Product Backlog so the work involving the external component can be planned in a separate Sprint. 
B) Tell the Product Owner that the Product Backlog should be ordered to maximize utilization of the Development Team. 
C) Remind the Product Owner that their primary concern is the flow of value reflected in the ordering of the Product Backlog."
"When the Developers are having trouble delivering a working increment because they don’t understand a functional requirement, what should they do? 
(choose the best answer) ";"A) Partially complete the functionality and discuss the remaining work at the Sprint review. 
B) Defer the work to a more appropriate Sprint. 
C) Collaborate with the Product Owner to determine what is possible and acceptable. 
D) Add a specialist to the Developers."
"Which of the following are true about the length of a sprint?
(Choose the best two answers)";"A) Sprint length is determined during sprint planning and should be long enough to make sure the Developers can deliver what is to be accomplished in the upcoming sprint
B) Sprint length is determined during sprint planning and should hold the time it will take to code the planned features in the upcoming sprint but does not include time for any testing
C) All sprints must be 1 month or less
D) It is best to have sprints of consistent length throughout a development effort
E) The length of the sprint should be proportional to the work that is done in between sprints"
"Who must do all the work to make sure Product Backlog Items conform to the Definition of Done?
(Choose the best answer)";"A) The scrum team
B) The product owner
C) QA specialists
D) The scrum master
E) The Developers"
"Commitment is essential to achieve the benefits of Scrum. 
What actions demonstrate the commitment of Scrum Team members?
(Choose the best two answers)";"A) Always deliver the items in the Sprint forecast.
B) Help your fellow Scrum Team members.
C) Do your best work.
D) Work late."
"Which role is responsible for determining when it is most appropriate to update the Sprint Backlog?
(Choose the best answer)";"A) The Product Owner
B) The Developer
C) The Scrum Team
D) The Scrum Master"
"Who is on the Scrum Team? 
(choose the best three answers)";"A) The Scrum Master.
B) Project Manager.
C) The Product Owner.
D) Developers.
E) None of the above."
"Which statement best describes Scrum? 
(choose the best answer)";"A) defined and predictive process that conforms to the principles of Scientific Management.
B) complete methodology that defines how to develop software.
C) framework for creating complex products in complex environments.
D) cookbook that defines best practices for software development."
"Which topics should be discussed in the Sprint Review?
(Choose the best answer)";"A) The Scrum process and how it was used during the Sprint
B) Coding and engineering practices
C) Sprint results
D) All of the above"
"Sprint burndown charts are an efficient tracking tool because they show
(Choose the best answer)";"A) An estimate of the total work remaining for the Sprint
B) How many Product Backlog items remain
C) How much effort has gone into a Sprint
D) How many hours have been worked by each Developer"
"Which phrase best describes a Product Owner?
(Choose the best answer)";"A) Team manager.
B) Requirements engineer.
C) Value optimizer.
D) Go-between for the Developers and the customers."
"Which two ways of creating Scrum Teams are consistent with Scrum’s values?
(Choose the best two answers)";"A) Existing teams propose how they would like to go about organizing into the new structure
B) Bring all the people together and let them organize into ScrumTeams
C) Managers personally re-assign current subordinates to new teams
D) The Chief Product Owner determines the new team structures and assignments
E) Managers collaborate to assign individuals into specific teams"
"What is management’s role in Scrum?
(choose the best answer)";"A) To provide the necessary environment and support needed as defined by the Scrum Guide by providing insights and resources that help the Scrum Teams continue moving forward.
B) Identifying and removing people that are performing poorly.
C) Monitoring skill levels of the Development Team.
D) Monitoring the Development Team’s velocity."
"Who is responsible for managing the progress of work during a Sprint? 
(choose the best answer)";"A) The Scrum Master.
B) The Developers.
C) The Product Owner.
D) The most junior member of the team."
"Upon what type of process control is Scrum based? 
(choose the best answer)";"A) Hybrid
B) Empirical
C) Defined
D) Complex"
"When the developers determine that they will not be able to finish the complete forecast, who has to be present when reviewing and adjusting the sprint work selected?
(Choose the best answer)";"A) The Product Owner and the Developers
B) The Scrum Master and the Developers
C) The Product Owner and all stakeholders
D) The Scrum Master, project manager and the Developers"
"Which of the following are topics for the Developers to discuss at the Daily Scrum as they inspect their progress toward the Sprint Goal?
(Choose the best three answers)";"A) Will today's work negatively impact our ability to meet the Sprint goal for the Sprint following this one?
B) What have we learned since yesterday, and how should we modify our plan to increase our ability to meet the Sprint Goal?
C) How many hours did I spend on the project yesterday?
D) Are there any decisions that need to be made to maintain progress toward the Sprint Goal?
E) Are there any impediments blocking progress toward the Sprint Goal?
F) Why were you late?
G) What will I be working on tomorrow?"
"Which of the following might the Scrum Team discuss during a Sprint Retrospective?
(Choose the best answer)";"A) Methods of communication
B) The way the Scrum team does Sprint Planning
C) Skills needed to improve the Scrum Teams ability to deliver
D) Its definition of done
E) All of the above"
"Which scrum values are exhibited by not building product backlog items that have low business value?
(Choose the best three answers)";"A) Earned value
B) Economic value added
C) Courage
D) Respect
E) Focus"
"What activities would a Product Owner typically undertake in the phase between the end of the current sprint and the start of the next sprint?
(Choose the best answer)";"A) There are no such activities, the next sprint starts immediately after the current sprint
B) Update the project plan with stakeholders
C) Work with the QA departments on the increment of the current sprint
D) Refine the product backlog"
"A Scrum Team consists of the following
(choose the best three answers)";"A) Developers
B) Product Owner
C) Users
D) Customers
E) Scrum Master"
"Which of the following activities are true about the Scrum Master?
(Choose the best two answers)";"A) The Scrum Master is responsible for updating the Sprint Burndown
B) The Scrum Master assigns tasks to Developers when they need work.
C) The Scrum Master teaches the Scrum Team to use timeboxes
D) At the Sprint Review the Scrum Master identifies what work is done and not done
E) The Scrum Master helps those outside the team interact with the Scrum Team"
"Which statement about the Sprint Goal is FALSE?
(choose the best answer)";"A) It helps increase focus.
B) The Scrum Team discusses openly about alternative ways to reach it.
C) It’s only a forecast and may change within the Sprint as more is learned.
D) The Development Team commits to it.
E) If it doesn’t seem achievable the Development Team has the courage to tell the Product Owner.
F) The Product Owner respects the Development Teams opinion on whether they can achieve it.  "
"How much time must a Product Owner spend with the Developers? 
(choose the best answer) ";"A) 100% 
B) Enough so that the Product Owner is confident the Increment will meet the intended value. 
C) 40%, or more if the stakeholders agree. 
D) As much time as the Developers tell the Product Owner to be present."
"A Scrum Master is keeping a list of open impediments, but it is growing and they have been able to resolve only a small portion of the impediments. Which two techniques would be most helpful in this situation?
(Choose the best two answers)";"A) Discuss the impediments with the Scrum Team
B) Add each open impediment to the product backlog
C) Prioritize the list and work on them in order
D) Arrange a triage meeting with all the project managers"
"Which two things are appropriate for a Scrum Master to do, if the Scrum Team does not have the tools and enviroment to completely finish each selected Product Backlog item?
(Choose the best two answers)";"A) Declare the Scrum Team not ready for Scrum
B) Coach the Scrum Team to improve its skills, tools and enviroment over time and adjust the definition of Done accordingly
C) Encourage the Product Owner to accept partially done Increments until the situation improves
D) Refocus the current Sprint on establishing the Scrum Team's environment instead of delivering an Increment
E) Have the Scrum TEam establish a Definition of Done that is actually possible to acahieve given current circumstances"
"Which of the following best describes an increment of working software?
(Choose the best answer)";"A) An automated test suite to verify functionality delivered in previous iterations
B) A new user interface design for functionality delivered in previous iterations
C) UML diagrams that describes how to deliver functionality in future iterations
D) Additional features in a usable state that complement those delivered in previous iterations
E) A decomposition of all Product Backlog items into tasks or future Sprint Backlog lists"
"When do Developers take ownership of a Sprint Backlog item?
(Choose the best answer)";"A) During the Daily Scrum.
B) Whenever a team member can accommodate more work.
C) Never. All Sprint Backlog items are “owned” by the entire Scrum Team. 
D) At the Sprint Planning Event."
"Which of the following are feedback loops in Scrum?
(choose the best answer)";"A) Daily Scrum, Sprint Review, and Sprint Retrospective
B) Daily Standup, Sprint Review, and Sprint Retrospective
C) Release Planning, Daily Scrum, and Sprint Review
D) Grooming, Daily Status, and Sprint Review"
"Who determines how to do the work during the Sprint?
(Choose the best answer)";"A) The Scrum Master.
B) The Technical Architects.
C) The Development Team.
D) The Team Leads.
E) The engineering director."
"During a Sprint, when is new work or further decomposition of work added to the Sprint Backlog?
(Choose the best answer)";"A) As soon as possible after they are identified
B) When the Product Owner identifies new work
C) During the Daily Scrum after the Developers approves it
D) When the Scrum Master has time to enter it"
A product increment must be released to production at the end of each Sprint.;"A) True
B) False"
"What is the main reason for the Scrum Master to be at the Daily Scrum? 
(choose the best answer)";"A) They do not have to be there; they only need to ensure the Developers have a Daily Scrum.
B) To make sure every team member answers the three questions.
C) To write down any changes to the Sprint Backlog, including adding new items, and tracking progress on the burn-down.
D) To gather status and progress information to report to management."
"A Scrum Team must have a Product Owner and Scrum Master.
(choose the best answer)";"A) False. a Scrum Master is only necessary when requested or needed.
B) True. Each must be a full-time member on the Scrum Team.
C) True. Their participation and availability will impact the outcomes produced by the Scrum Team.
D) False. If a Product Owner is unavailable, he/she can be replaced by a Business analyst."
"What enhances best the transparency of an increment?
(Choose the best answer)";"A) Updating Sprint tasks properly in the electronic tracking tool.
B) Doing all work needed to meet the Definition of Done.
C) Reporting Sprint progress to the stakeholders daily.
D) Keeing track of and estimating all undone work to be completed in a ""hardening"" Sprint."
"Which statement is correct about the length of the Sprints?
(choose the best answer)";"A) All Sprints must be one month or less and it is optimal to have a consistent Sprint length.
B) The Sprint length is dependent on the development effort forecasted (amount of items selected) during Sprint Planning.
C) The Sprint length is calculated by aggregating the time required to design, code and test.
D) The Sprint Length is defined by the Scrum Master."
"How is management external to the Scrum team involved in the Daily Scrum? 
(Choose the best answer)";"A) The Scrum Master speaks on their behalf
B) Management gives an update at the start of each daily Scrum
C) The Developers self-manage and are the only management required at the Daily Scrum
D) The Product Owner represents their opinions"
"The timebox for the Sprint Planning event is? 
(choose the best answer)";"A) Monthly.
B) 4 hours.
C) Whenever it is done.
D) 8 hours for a monthly Sprint. For shorter Sprints it is usually shorter."
